,Bar_Time_UNIX,open,high,low,close,volume,Bar_Time_UTC_String
736,1623161700000,13852.2,13854.4,13828.9,13830.4,0,2021-06-08T14:15:00Z
737,1623162600000,13830.4,13838.2,13811.4,13832.7,0,2021-06-08T14:30:00Z
738,1623163500000,13832.7,13840.9,13800.0,13808.2,0,2021-06-08T14:45:00Z
739,1623164400000,13808.2,13824.2,13792.0,13793.0,0,2021-06-08T15:00:00Z
740,1623165300000,13793.0,13802.8,13742.6,13770.5,0,2021-06-08T15:15:00Z
741,1623166200000,13770.5,13788.3,13753.3,13786.2,0,2021-06-08T15:30:00Z
742,1623167100000,13786.2,13792.5,13770.7,13783.2,0,2021-06-08T15:45:00Z
743,1623168000000,13783.2,13801.8,13778.2,13801.2,0,2021-06-08T16:00:00Z
744,1623168900000,13801.2,13807.5,13786.5,13802.6,0,2021-06-08T16:15:00Z
745,1623169800000,13802.6,13814.2,13801.6,13810.5,0,2021-06-08T16:30:00Z
746,1623170700000,13810.5,13824.5,13807.8,13822.7,0,2021-06-08T16:45:00Z
747,1623171600000,13822.7,13823.0,13804.0,13804.0,0,2021-06-08T17:00:00Z
748,1623172500000,13804.0,13807.0,13797.2,13798.1,0,2021-06-08T17:15:00Z
749,1623173400000,13798.1,13814.0,13794.3,13813.0,0,2021-06-08T17:30:00Z
750,1623174300000,13813.0,13815.3,13799.3,13800.5,0,2021-06-08T17:45:00Z
751,1623175200000,13800.5,13812.6,13794.5,13804.5,0,2021-06-08T18:00:00Z
752,1623176100000,13804.5,13811.6,13800.4,13811.4,0,2021-06-08T18:15:00Z
753,1623177000000,13811.4,13820.0,13809.9,13815.4,0,2021-06-08T18:30:00Z
754,1623177900000,13815.4,13833.0,13811.9,13830.8,0,2021-06-08T18:45:00Z
755,1623178800000,13830.8,13837.9,13829.1,13834.5,0,2021-06-08T19:00:00Z
756,1623179700000,13834.5,13838.9,13816.5,13820.5,0,2021-06-08T19:15:00Z
757,1623180600000,13820.5,13826.4,13814.8,13818.5,0,2021-06-08T19:30:00Z
758,1623181500000,13818.5,13827.0,13807.6,13809.8,0,2021-06-08T19:45:00Z
759,1623182400000,13809.8,13819.5,13809.4,13815.5,0,2021-06-08T20:00:00Z
760,1623183300000,13815.5,13815.5,13815.4,13815.4,0,2021-06-08T20:15:00Z
761,1623184200000,13815.4,13815.4,13807.4,13809.0,0,2021-06-08T20:30:00Z
762,1623185100000,13809.0,13814.3,13807.6,13813.3,0,2021-06-08T20:45:00Z
763,1623189600000,13813.3,13817.0,13805.4,13812.6,0,2021-06-08T22:00:00Z
764,1623190500000,13812.6,13818.8,13811.8,13817.5,0,2021-06-08T22:15:00Z
765,1623191400000,13817.5,13819.8,13816.3,13816.8,0,2021-06-08T22:30:00Z
766,1623192300000,13816.8,13823.5,13816.6,13822.0,0,2021-06-08T22:45:00Z
767,1623193200000,13822.0,13823.1,13819.4,13820.3,0,2021-06-08T23:00:00Z
768,1623194100000,13820.3,13824.5,13814.6,13815.8,0,2021-06-08T23:15:00Z
769,1623195000000,13815.8,13824.8,13815.5,13819.0,0,2021-06-08T23:30:00Z
770,1623195900000,13819.0,13824.1,13817.9,13818.4,0,2021-06-08T23:45:00Z
771,1623196800000,13818.4,13823.5,13809.6,13818.6,0,2021-06-09T00:00:00Z
772,1623197700000,13818.6,13832.3,13815.3,13831.4,0,2021-06-09T00:15:00Z
773,1623198600000,13831.4,13834.4,13824.3,13827.5,0,2021-06-09T00:30:00Z
774,1623199500000,13827.5,13833.5,13826.1,13831.8,0,2021-06-09T00:45:00Z
775,1623200400000,13831.8,13833.0,13823.1,13827.6,0,2021-06-09T01:00:00Z
776,1623201300000,13827.6,13828.4,13815.1,13816.0,0,2021-06-09T01:15:00Z
777,1623202200000,13816.0,13820.9,13807.6,13820.0,0,2021-06-09T01:30:00Z
778,1623203100000,13820.0,13824.6,13814.8,13821.5,0,2021-06-09T01:45:00Z
779,1623204000000,13821.5,13823.4,13816.5,13816.8,0,2021-06-09T02:00:00Z
780,1623204900000,13816.8,13817.8,13813.4,13817.1,0,2021-06-09T02:15:00Z
781,1623205800000,13817.1,13819.1,13810.8,13817.8,0,2021-06-09T02:30:00Z
782,1623206700000,13817.8,13827.8,13817.8,13827.8,0,2021-06-09T02:45:00Z
783,1623207600000,13827.8,13832.6,13823.5,13829.8,0,2021-06-09T03:00:00Z
784,1623208500000,13829.8,13831.3,13821.6,13823.6,0,2021-06-09T03:15:00Z
785,1623209400000,13823.6,13828.0,13823.6,13825.4,0,2021-06-09T03:30:00Z
786,1623210300000,13825.4,13826.1,13820.1,13821.8,0,2021-06-09T03:45:00Z
787,1623211200000,13821.8,13825.0,13819.8,13822.9,0,2021-06-09T04:00:00Z
788,1623212100000,13822.9,13823.0,13818.3,13822.3,0,2021-06-09T04:15:00Z
789,1623213000000,13822.3,13823.3,13815.4,13818.4,0,2021-06-09T04:30:00Z
790,1623213900000,13818.4,13819.1,13815.6,13817.9,0,2021-06-09T04:45:00Z
791,1623214800000,13817.9,13818.5,13812.8,13818.0,0,2021-06-09T05:00:00Z
792,1623215700000,13818.0,13825.6,13817.9,13823.6,0,2021-06-09T05:15:00Z
793,1623216600000,13823.6,13823.6,13811.0,13816.1,0,2021-06-09T05:30:00Z
794,1623217500000,13816.1,13818.5,13811.5,13816.5,0,2021-06-09T05:45:00Z
795,1623218400000,13816.5,13821.0,13810.5,13813.1,0,2021-06-09T06:00:00Z
796,1623219300000,13813.1,13816.5,13809.9,13813.3,0,2021-06-09T06:15:00Z
797,1623220200000,13813.3,13826.6,13812.0,13826.5,0,2021-06-09T06:30:00Z
798,1623221100000,13826.5,13829.3,13822.4,13826.3,0,2021-06-09T06:45:00Z
799,1623222000000,13826.3,13826.6,13814.0,13819.0,0,2021-06-09T07:00:00Z
800,1623222900000,13819.0,13828.5,13817.8,13827.5,0,2021-06-09T07:15:00Z
801,1623223800000,13827.5,13846.1,13827.5,13832.8,0,2021-06-09T07:30:00Z
802,1623224700000,13832.8,13833.8,13816.8,13821.5,0,2021-06-09T07:45:00Z
803,1623225600000,13821.5,13843.3,13820.3,13836.3,0,2021-06-09T08:00:00Z
804,1623226500000,13836.3,13837.5,13826.1,13827.8,0,2021-06-09T08:15:00Z
805,1623227400000,13827.8,13839.3,13825.3,13832.0,0,2021-06-09T08:30:00Z
806,1623228300000,13832.0,13836.0,13829.0,13834.9,0,2021-06-09T08:45:00Z
807,1623229200000,13834.9,13836.6,13817.8,13822.9,0,2021-06-09T09:00:00Z
808,1623230100000,13822.9,13831.0,13819.3,13827.8,0,2021-06-09T09:15:00Z
809,1623231000000,13827.8,13830.8,13823.0,13823.8,0,2021-06-09T09:30:00Z
810,1623231900000,13823.8,13828.6,13819.1,13828.3,0,2021-06-09T09:45:00Z
811,1623232800000,13828.3,13837.6,13827.8,13833.8,0,2021-06-09T10:00:00Z
812,1623233700000,13833.8,13837.8,13829.5,13830.4,0,2021-06-09T10:15:00Z
813,1623234600000,13830.4,13847.3,13830.0,13846.5,0,2021-06-09T10:30:00Z
814,1623235500000,13846.5,13854.9,13846.5,13852.8,0,2021-06-09T10:45:00Z
815,1623236400000,13852.8,13862.0,13849.4,13852.5,0,2021-06-09T11:00:00Z
816,1623237300000,13852.5,13864.8,13851.3,13854.8,0,2021-06-09T11:15:00Z
817,1623238200000,13854.8,13854.8,13831.4,13853.3,0,2021-06-09T11:30:00Z
818,1623239100000,13853.3,13861.0,13851.0,13858.4,0,2021-06-09T11:45:00Z
819,1623240000000,13858.4,13860.0,13848.5,13857.5,0,2021-06-09T12:00:00Z
820,1623240900000,13857.5,13859.8,13843.8,13851.0,0,2021-06-09T12:15:00Z
821,1623241800000,13851.0,13872.8,13847.9,13865.9,0,2021-06-09T12:30:00Z
822,1623242700000,13865.9,13867.5,13860.1,13862.8,0,2021-06-09T12:45:00Z
823,1623243600000,13862.8,13872.6,13862.4,13867.0,0,2021-06-09T13:00:00Z
824,1623244500000,13867.0,13877.4,13863.3,13872.4,0,2021-06-09T13:15:00Z
825,1623245400000,13872.4,13891.5,13859.8,13884.0,0,2021-06-09T13:30:00Z
826,1623246300000,13884.0,13904.5,13844.6,13873.3,0,2021-06-09T13:45:00Z
827,1623247200000,13873.3,13881.0,13837.5,13840.3,0,2021-06-09T14:00:00Z
828,1623248100000,13840.3,13857.3,13827.1,13857.3,0,2021-06-09T14:15:00Z
829,1623249000000,13857.3,13864.0,13843.3,13863.3,0,2021-06-09T14:30:00Z
830,1623249900000,13863.3,13866.5,13836.4,13847.5,0,2021-06-09T14:45:00Z
831,1623250800000,13847.5,13865.8,13843.3,13847.0,0,2021-06-09T15:00:00Z
832,1623251700000,13847.0,13858.8,13844.5,13851.5,0,2021-06-09T15:15:00Z
833,1623252600000,13851.5,13852.6,13834.1,13843.3,0,2021-06-09T15:30:00Z
834,1623253500000,13843.3,13847.0,13817.4,13830.0,0,2021-06-09T15:45:00Z
835,1623254400000,13830.0,13848.6,13825.5,13848.1,0,2021-06-09T16:00:00Z
836,1623255300000,13848.1,13858.6,13843.3,13857.5,0,2021-06-09T16:15:00Z
837,1623256200000,13857.5,13864.8,13856.8,13863.1,0,2021-06-09T16:30:00Z
838,1623257100000,13863.1,13868.8,13859.6,13867.6,0,2021-06-09T16:45:00Z
839,1623258000000,13867.6,13875.6,13864.1,13864.5,0,2021-06-09T17:00:00Z
840,1623258900000,13864.5,13872.1,13862.0,13867.1,0,2021-06-09T17:15:00Z
841,1623259800000,13867.1,13875.8,13855.4,13860.4,0,2021-06-09T17:30:00Z
842,1623260700000,13860.4,13868.6,13858.5,13860.6,0,2021-06-09T17:45:00Z
